date,ticker,close,ret_1,dv21,q_rsi2,o1,c2,r_open
2010-01-22,AAPL,5.9146285,-0.049598813,3.3196954e+09,5.579731887900735,0.024071107,0.041416172,0.015437375068664551
2010-01-22,GOOG,13.570369,-0.05655425,2.227659e+09,5.579731887900735,-0.0062179705,-0.013799721,-0.009129215717315673
2010-01-29,MSFT,20.927168,-0.033607487,1.5152635e+09,7.03131997646517,0.0074521527,0.00993587,0.000965367317199707
2010-01-29,AAPL,5.744443,-0.036278557,4.684318e+09,7.03131997646517,0.0016142648,0.019785639,0.016642104148864745
2010-04-27,AMZN,7.101,-0.034600012,1.1239172e+09,9.249030911390776,0.0040135304,-0.0020419187,-0.007531274795532226
2010-04-27,BIDU,62.011,-0.03236323,7.113471e+08,9.249030911390776,0.009804678,0.14474848,0.13213349437713623
2010-05-06,BIDU,66.802,-0.031195175,8.977503e+08,4.988445186089436,-0.0016915505,0.0400586,0.040320883750915526
2010-05-06,AAPL,7.3652477,-0.03804824,4.857673e+09,4.988445186089436,-0.010314809,0.031431608,0.04068149185180664
2010-05-07,AAPL,7.054485,-0.042193133,5.2248735e+09,2.4808396558595263,0.061011292,0.08759446,0.023554574012756346
2010-05-07,BIDU,63.949,-0.04270831,9.1850195e+08,2.4808396558595263,0.04372236,0.116780534,0.06849766826629639
2010-05-19,ZION,17.74315,-0.063650206,1.4047013e+08,8.853466127776741,-0.05814897,-0.025389139,0.03328240966796875
2010-05-19,BPOP,23.86037,-0.05325437,1.13768744e+08,8.853466127776741,-0.01874984,-0.043750107,-0.026978005409240724
2010-05-20,BIDU,67.58,-0.03636098,1.3278317e+09,1.9277607562530505,-0.02071621,0.05060666,0.07133163070678711
2010-05-20,AAPL,7.111313,-0.042602707,6.290745e+09,1.9277607562530505,-0.020777144,0.037853345,0.05837453460693359
2010-06-09,REGN,24.805912,-0.055094372,2.7460522e+07,7.575990757987569,0.015575095,0.05511193,0.037430535316467284
2010-06-09,BIDU,67.4,-0.043835953,1.2620064e+09,7.575990757987569,0.025815992,0.08086049,0.05215931987762451
2010-06-23,BPOP,21.548893,-0.033445127,3.4149996e+07,8.43234670806801,-0.010380493,0.01384107,0.022975574493408202
2010-06-23,RGLD,40.1525,-0.051676884,3.834285e+07,8.43234670806801,0.0006164889,0.024058742,0.021927844047546385
2010-06-24,BIDU,73.8,-0.031368937,8.5311354e+08,2.265384988414013,0.0062330496,0.008672078,0.0009238824844360351
2010-06-24,AMD,8.13,-0.050233677,2.292518e+08,2.265384988414013,0.011070129,-0.009840089,-0.022181262016296388
2010-06-25,AAL,8.635511,-0.04284254,1.0271683e+08,4.074184336411207,0.003275321,-0.06768555,-0.07222913646697998
2010-06-28,LULU,19.835,-0.033852976,8.613349e+07,2.4577661060128264,-0.023695454,-0.061759442,-0.04048781538009644
2010-06-28,WYNN,54.053223,-0.044249535,1.4913867e+08,2.4577661060128264,-0.027732149,-0.10376029,-0.0796967043876648
2010-06-29,BIDU,67.57,-0.09228913,8.642367e+08,0.25527072076249624,0.0060678357,0.014503527,0.00688470458984375
2010-06-29,AAPL,7.661951,-0.045210652,5.91903e+09,0.25527072076249624,0.0021080046,-0.030019026,-0.033559431076049806
2010-06-30,VIAV,5.59727,-0.0418695,6.6221216e+07,0.1519601096608909,-0.0040652305,-0.015244082,-0.01272450828552246
