date,ticker,close,ret_1,dv21,q_rsi2,o1,c2,r_close,r_open
2010-01-22,AAPL,5.9146285,-0.049598813,3.3196954e+09,5.579731887900735,0.024071107,0.041416172,0.03991617193818092,0.015437375068664551
2010-01-22,GOOGL,13.6342745,-0.056554258,2.2275617e+09,5.579731887900735,-0.006217994,-0.013799811,-0.015299810782074928,-0.009129215717315673
2010-01-22,GOOG,13.570369,-0.05655425,2.227659e+09,5.579731887900735,-0.0062179705,-0.013799721,-0.015299721375107765,-0.009129215717315673
2010-01-22,MSFT,21.50642,-0.034987938,1.1422596e+09,5.579731887900735,0.00966808,0.018646084,0.017146083772182463,0.007392059326171875
2010-01-22,AMZN,6.0715,-0.04098879,1.1819526e+09,5.579731887900735,0.0055176145,-0.01605861,-0.017558610752224924,-0.022957850933074953
2010-01-22,MU,8.903004,-0.06836728,3.5781645e+08,5.579731887900735,0.016429156,0.033953704,0.0324537039399147,0.01574123954772949
2010-01-22,BIDU,41.69,-0.05243546,1.0993082e+09,5.579731887900735,0.009666584,0.0059486954,0.004448695354163647,-0.005182315349578857
2010-01-22,CSCO,14.727572,-0.042118616,5.789577e+08,5.579731887900735,0.0056596594,-0.0030476633,-0.004547663252800703,-0.010158349514007568
2010-01-22,INTC,12.89137,-0.04462539,8.3875923e+08,5.579731887900735,0.016574342,0.0045204833,0.0030204833149909973,-0.013357330799102783
2010-01-22,AMD,7.88,-0.123470485,2.2553563e+08,5.579731887900735,0.016497476,0.02664975,0.025149750769138335,0.008487473487854004
2010-01-29,MSFT,20.927168,-0.033607487,1.5152635e+09,7.03131997646517,0.0074521527,0.00993587,0.008435869835317135,0.000965367317199707
2010-01-29,UAL,12.23,-0.03167067,1.565255e+08,7.03131997646517,0.009812007,0.121831626,0.12033162569999695,0.1094311580657959
2010-01-29,MU,8.503198,-0.07234006,3.373639e+08,7.03131997646517,0.01376128,0.07224776,0.07074775850772858,0.05619252777099609
2010-01-29,AAPL,5.744443,-0.036278557,4.684318e+09,7.03131997646517,0.0016142648,0.019785639,0.018285638898611067,0.016642104148864745
2010-01-29,AMD,7.46,-0.0532995,2.3336304e+08,7.03131997646517,0.02010725,0.06032169,0.05882168865203857,0.03792179679870605
2010-01-29,STX,8.633563,-0.08986941,1.3066917e+08,7.03131997646517,0.03111981,0.11190941,0.1104094118475914,0.07685125923156738
2010-01-29,MRVL,14.836049,-0.057838086,2.1059229e+08,7.03131997646517,0.0051637474,0.069420524,0.06792052394151687,0.06242669677734375
2010-01-29,RMBS,21.94,-0.061591048,1.3977824e+08,7.03131997646517,0.0,0.038286243,0.036786242634058,0.03678620910644531
2010-01-29,WDC,22.939945,-0.037740815,1.5129154e+08,7.03131997646517,0.0076337364,0.0652807,0.06378069823980331,0.05571020698547363
2010-01-29,BKNG,7.6514673,-0.031386297,1.753858e+08,7.03131997646517,0.00598911,0.04642955,0.044929548412561415,0.0386996374130249
2010-04-27,CMCSA,5.9489965,-0.03249409,2.4948512e+08,9.249030911390776,0.029252281,0.08342338,0.08192338353395462,0.051131497383117674
2010-04-27,APA,76.44877,-0.033153843,2.7993306e+08,9.249030911390776,0.0056681978,-0.02777234,-0.029272340923547746,-0.0347520604133606
2010-04-27,AMZN,7.101,-0.034600012,1.1239172e+09,9.249030911390776,0.0040135304,-0.0020419187,-0.0035419186912477017,-0.007531274795532226
2010-04-27,EBAY,8.822354,-0.032165967,4.0443488e+08,9.249030911390776,0.0054687597,0.01977265,0.01827265067398548,0.012726078987121582
2010-04-27,AMD,9.58,-0.039117385,2.3342466e+08,9.249030911390776,0.011482219,0.014613815,0.013113814651966095,0.0015961036682128906
2010-04-27,BIDU,62.011,-0.03236323,7.113471e+08,9.249030911390776,0.009804678,0.14474848,0.1432484791278839,0.13213349437713623
2010-04-27,WYNN,55.966953,-0.04038187,1.805263e+08,9.249030911390776,0.023416374,0.05373243,0.052232428699731825,0.02812231636047363
2010-04-27,MU,10.082918,-0.057429485,3.9506022e+08,9.249030911390776,0.007736903,-0.012572561,-0.014072561390697956,-0.021653582096099855
2010-04-27,SBUX,9.770074,-0.031398192,1.7432445e+08,9.249030911390776,0.004522842,0.0026381535,0.0011381534989923238,-0.003376235008239746
2010-04-27,UAL,20.51,-0.08273704,2.3978413e+08,9.249030911390776,0.030716682,0.04680639,0.045306391328573226,0.014110218048095704
2010-05-06,BKNG,9.130059,-0.05619868,2.5036758e+08,4.988445186089436,-0.0048478306,0.07142839,0.06992838835716247,0.07514775848388672
2010-05-06,CMCSA,5.965108,-0.062309735,3.333483e+08,4.988445186089436,-0.0048626116,-0.025932118,-0.02743211829662323,-0.022672463893890382
2010-05-06,WYNN,50.997025,-0.05866565,2.0281122e+08,4.988445186089436,0.023711896,0.032029394,0.030529394060373305,0.006624828338623047
2010-05-06,MU,8.532452,-0.05507561,3.7272445e+08,4.988445186089436,0.005714366,0.038857043,0.03735704278945923,0.03145421600341797
2010-05-06,CSCO,16.343311,-0.039924696,8.1880294e+08,4.988445186089436,0.0011769715,0.025107946,0.02360794624686241,0.02240289306640625
2010-05-06,TXN,16.400812,-0.030923994,2.9704758e+08,4.988445186089436,-0.006381975,0.02991633,0.02841632930934429,0.03503144836425781
2010-05-06,BIDU,66.802,-0.031195175,8.977503e+08,4.988445186089436,-0.0016915505,0.0400586,0.03855860164761543,0.040320883750915526
2010-05-06,AAPL,7.3652477,-0.03804824,4.857673e+09,4.988445186089436,-0.010314809,0.031431608,0.029931607902050017,0.04068149185180664
2010-05-06,AMD,8.27,-0.036130473,2.8348982e+08,4.988445186089436,0.003627537,0.087061584,0.08556158399581909,0.08163250541687012
2010-05-06,UAL,17.97,-0.09150664,3.0024624e+08,4.988445186089436,0.0038954704,0.08124658,0.07974657720327377,0.07555092430114746
2010-05-07,AKAM,35.71,-0.04493181,1.667769e+08,2.4808396558595263,0.057126883,0.078689486,0.07718948578834534,0.018897305488586424
2010-05-07,AAPL,7.054485,-0.042193133,5.2248735e+09,2.4808396558595263,0.061011292,0.08759446,0.08609445697069168,0.023554574012756346
2010-05-07,BPOP,24.606003,-0.08078008,1.6694518e+08,2.4808396558595263,0.09393919,0.066667125,0.06516712462902069,-0.02643017911911011
2010-05-07,ZION,18.578722,-0.032904726,1.5671267e+08,2.4808396558595263,0.09855296,0.08486509,0.08336509323120117,-0.013959874153137207
2010-05-07,ISRG,36.035557,-0.038453493,3.080857e+08,2.4808396558595263,0.05143066,0.06311668,0.06161667710542679,0.00961435890197754
